AnimalName,Breed,Age,Weight_kg,MedicalHistory,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,priority_score
Dog,Rottweiler,6.0,32.1,Chronic illness,Anorexia,Hydrophobia,drooping ears,Diarrhea,Shyness or aggression,10
Dog,Bulldog,9.9,18.5,Vaccinated,Lethargy,Weakness,Horny growth,Fever,Coughing,7
Dog,Beagle,13.9,18.9,Parasite history,Pain,Weight loss,Weight loss,Sneezing,Drop on egg production,0
Dog,Mixed Breed,4.2,13.4,Chronic illness,Weakness,Diarrhea,Weight loss,Diarrhea,Weight loss,6
Dog,Boxer,2.6,27.6,Dental issues,Indigestion,Abdominal pain,Constipation,Diarrhea,Nausea,8
Dog,Yorkshire Terrier,12.4,3.8,Previous heart condition,Weakness,Weight loss,Muscle twitching,Shivering,Vomiting,9
Dog,Beagle,1.7,16.2,Allergies,Fever,Loss of  appetite,Reduce Energy,Lameness,Swelling of joints,8
Dog,Golden Retriever,11.4,38.4,Skin conditions history,Weakness,Pain,Vomiting,Pain,Shaking head,8
Dog,Yorkshire Terrier,11.0,5.1,Parasite history,Vomiting,Pain,Fever,Weight loss,Anorexia,9
Dog,Beagle,7.6,23.6,Vaccinated,Abortion on late pregancy,Stillbirth,Retained Placenda,Endomeritis,Decrease appetite,10
Dog,Boxer,0.9,29.8,Chronic illness,swollen,red-colored,hot udder,Milk getting out more watery,Milk getting out more thick,8
Dog,Golden Retriever,9.1,37.2,Vaccinated,Discharge From eyes,Blindness,Scartches,Redness of eye,Pains,9
Dog,Poodle,3.3,4.5,Recent surgery,Excessive blood loss,dizziness and fainting,Blurry vision,watery eyes,slow growth,10
Dog,Bulldog,5.4,15.0,No previous conditions,Weakness,Weight loss,Lethargy,Weakness,Lethargy,6
Dog,Rottweiler,2.8,25.0,Dental issues,Weight Loss,Fever,Fever,Vomiting,Fever,7
Dog,Boxer,9.2,24.1,Dental issues,Weight loss,Fever,Pain,Poor immune function,Inflammed eye,8
Dog,Beagle,12.1,21.0,Previous kidney disease,Stand with head droping,Weight loss,Fever,Abnormal behaviour,Pneumonia ,10
Dog,Yorkshire Terrier,13.2,7.3,Allergies,Fever,loss of appetite,Depression,Loss of appetite,Pains,8
Dog,Bulldog,6.7,15.0,Allergies,Sneezing,Coughing,Diarrhea,Retarded Growth,Weakness,6
Dog,Beagle,14.6,29.7,Previous heart condition,Weakness,Anorexia,Anorexia,Pain,Shivering,9
Dog,Boxer,2.7,27.9,Not vaccinated,restless movement,weakness,decreased stool production,heavy breathing,distended stomach,10
Dog,Yorkshire Terrier,13.5,4.4,Previous heart condition,Lethargy,Loss of appetite,Swelling,Nasal Discharge,Blindness,10
Dog,Mixed Breed,4.5,27.5,Skin conditions history,Enteritis,Weight loss,Halitosis,Air sacculitis,Coughing,0
Dog,Boxer,14.0,16.8,Parasite history,Loss of eat,Weakness,Sneezing,Pain,Fever,8
Dog,Yorkshire Terrier,8.7,8.8,Recent surgery,Pain,Weakness,difficulty breating,Coughing,Pain,10
Dog,Rottweiler,4.1,36.3,Skin conditions history,Sneezing,Coughing,Fever,Weakness,Coughing,7
Dog,Rottweiler,5.3,25.4,Allergies,Labored breathing,Dyspnea,Coughing,Depression,Anorexia,10
Dog,German Shepherd,5.3,43.6,Not vaccinated,Fever,Fever,Weakness,Coughing,Nasal,7
Dog,Mixed Breed,2.4,10.9,Recent surgery,Barren ewes,Abortion,Poor conformation,Hairy Fleeces,Weight loss,0
Dog,Beagle,9.2,32.3,Recent surgery,Redness,Pains,Trachea,Scabs On feet,Thickening of skin,4
Dog,Bulldog,8.7,21.1,Allergies,Abdominal discomfort,Anorexia,Milky Hard,Pain,Sneezing,8
Dog,Boxer,15.0,20.5,Dental issues,Diarrhea,Weight loss,Lethargy,Succumb,Pain,10
Dog,Bulldog,8.5,22.4,Skin conditions history,Blindness,Distinctive bumps,Facial swelling,stunted growth,egg production decreases,0
Dog,Yorkshire Terrier,15.5,4.3,Not vaccinated,Discomfort,Diarrhea,Dry or dull hair,Grinding teeth,Pain,8
Dog,Rottweiler,0.5,28.2,Vaccinated,Anorexia,Fever,Weight loss,Coughing,Pain,8
Dog,Yorkshire Terrier,4.6,6.4,Previous heart condition,Thivk skin,Excessive eye watering,Coughing,Aggressiveness,Sneezing,5
Dog,Mixed Breed,13.9,16.4,Not vaccinated,difficulty swallowing,cough ,difficulty swallowing,gasping for air,extending its neck,10
Dog,Poodle,4.3,7.7,No previous conditions,Eyeproblem,Weight loss,Sneezing,Weakness,Reduce Lamp marking,5
Dog,Poodle,9.9,3.9,No previous conditions,Coughing,Pain,Deability,Eyeproblem,Pain,9
Dog,Rottweiler,1.2,29.5,Chronic illness,Upset stomach,Diarrhea,Vomiting,Muscle pain,Muscle stiffness,7
Dog,Yorkshire Terrier,7.7,10.0,Vaccinated,Coughing,Diarrhea,Sneezing,Diarrhea,Excession Salivation,5
Dog,German Shepherd,8.0,35.8,Vaccinated,Fever,Sour Throat,Mortality,Muscle aches,Abnormalities,0
Dog,Rottweiler,4.0,37.9,Skin conditions history,Weight loss,Urine retention,Fever,Sudden death,Convulsion,10
Dog,Boxer,8.2,24.1,Previous kidney disease,Anorexia,Fell unwell,Flatulence,Anorexia,Coughing,7
Dog,Boxer,10.0,19.9,Allergies,Diarrhea,Limp,Pain,Anorexia,Weight loss,8
Dog,Labrador Retriever,8.0,35.2,Dental issues,Unable to exercise,Fever,Anorexia,Tensemus,Pain,8
Dog,German Shepherd,9.7,45.0,Allergies,Coughing,Halitosis,Enteritis,Air sacculitis,Weight loss,0
Dog,Bulldog,10.2,26.3,Allergies,cough ,gasping for air,Weight loss,gasping for breath,extending its neck,10
Dog,Boxer,0.5,17.0,Chronic illness,Sneezing,Pain,Crusty eye lashes and matting of eyelashes,Anorexia,Vomiting,9
Dog,Bulldog,6.8,18.8,Not vaccinated,Nuerological,Loss of appetite,Fever,Eyeproblem,Liver disease,10
Dog,Labrador Retriever,9.9,24.7,Recent surgery,emaciation,loss in weight,loss of appetite,Weakness,diarrhoea,7
Dog,Yorkshire Terrier,8.0,6.0,Recent surgery,haemorrhage,Straw colored,Abdominal pain,Death,Carcass decomposes,0
Dog,Yorkshire Terrier,8.6,6.0,Skin conditions history,diffuse,Diarrhea,Scartch,Pain,Vomiting,7
Dog,Yorkshire Terrier,5.3,5.6,Parasite history,Weight loss,depression,Sneezing,Anorexia,Lethargy,7
Dog,German Shepherd,13.6,42.9,No previous conditions,Sneezing,Eye closed,Sneezing,Vomiting,Lethargy,7
Dog,Poodle,11.3,3.7,Not vaccinated,Respiratory distress,Seizuers,Hyperesthesia,Fever,Sudden death,10
Dog,Labrador Retriever,8.0,29.9,Previous kidney disease,Vomiting,Weakness,Coughing,Sneezing,Pain,8
Dog,Mixed Breed,8.8,7.1,No previous conditions,Strong cough,Runny nose,Sneezing,Lethargy,Loss of appetite,6
Dog,Beagle,7.0,23.1,No previous conditions,Weakness,Sneezing,Pain,Swelling may occur under jaw,Yellow or green dropping,7
Dog,Boxer,5.0,23.7,Skin conditions history,Anorexia,Fever,Vomiting,Weakness,Fever,7
Dog,Boxer,1.7,26.2,Previous heart condition,Fever,Difficulty breathing,Thrist and urination,Weight loss,Enlarged lymph nodes or Swelling,10
Dog,Beagle,6.9,15.0,Chronic illness,Coughing,Anorexia,Coughing,Coughing,hot udder,7
Dog,German Shepherd,4.6,45.0,Previous kidney disease,Weakness,Distended chest,Lethargy,Anorexia,Coughing,10
Dog,Mixed Breed,11.3,22.2,No previous conditions,Pain,Weakness,Sneezing,Diarrhea,Sneezing,7
Dog,Bulldog,9.4,20.9,Skin conditions history,egg production decreases,stunted growth,Blindness,Distinctive bumps,Facial swelling,0
Dog,Rottweiler,15.0,42.8,Vaccinated,Watery eye,Vomiting,Vomiting,Diarrhea,Anorexia,8
Dog,Bulldog,5.6,19.3,Allergies,Reluctant Move,Loss of Appetite,Lameness,Death,Weakness,0
Dog,Bulldog,8.1,19.5,Allergies,Fever,Dull,Hind quarted soil,Animal stop feed,Decrease in milk production,0
Dog,Yorkshire Terrier,14.3,8.6,No previous conditions,Weight loss,Weakness,Lethargy,Weight loss,Sneezing,7
Dog,Mixed Breed,0.9,9.9,Allergies,Fever,Difficulty in breathing,Lethargy,Death,Pains,10
Dog,German Shepherd,9.4,41.2,Recent surgery,Swollen lymph nodes,Difficulty walking,Watery Stool,Lethargy,Vaginal Discharge,9
Dog,Bulldog,14.3,21.3,Not vaccinated,Limping,Willnot run to jump,Swelling,Week legs,Pain on leg,7
Dog,Golden Retriever,8.6,29.6,Dental issues,Back Pain,Pain,Diarrhea,Vomiting,Weight loss,8
Dog,Labrador Retriever,15.0,33.2,Dental issues,Abdominal pain,Vomiting,Weakness,Swollen Abdomen,swollen teats,10
Dog,Bulldog,5.1,19.6,No previous conditions,Weakness,Sneezing,Weakness,Weight loss,Anorexia,7
Dog,Rottweiler,6.3,45.0,No previous conditions,Sneezing,Weight loss,Weakness,Fever,Sneezing,7
Dog,Rottweiler,5.7,33.3,No previous conditions,Coughing,Fever,Diarrhea,Weakness,Pain,8
Dog,Beagle,3.0,17.7,Vaccinated,Allergic Reaction,Poor appetite,Coughing,Weight loss,Distended chest,10
Dog,Rottweiler,5.2,27.5,Chronic illness,Weakness,Fever,Weight loss,Anorexia,Lethargy,8
Dog,Rottweiler,1.2,29.2,Chronic illness,Upset stomach,Diarrhea,Vomiting,Muscle pain,Muscle stiffness,7
Dog,Beagle,3.7,25.8,Recent surgery,Vomiting,Diarrhea,Dehydration,Weight loss,Poor coat apperence,8
Dog,Rottweiler,5.0,30.3,No previous conditions,Immediate death,Difficulty in breathing,Blue colored lip,Bloody discharge,Neurologic abnormalities,10
Dog,German Shepherd,9.1,38.9,Allergies,Air sacculitis,Halitosis,Coughing,Enteritis,Weight loss,0
Dog,Rottweiler,0.5,45.0,Chronic illness,Lethargy,Ulcer on gum,Weight loss,Anorexia,Sneezing,8
Dog,German Shepherd,5.5,32.4,Previous kidney disease,Lethargy,Coughing,Weight loss,Diarrhea,Blood from mouth,9
Dog,Beagle,3.2,31.5,Recent surgery,Poor coat apperence,Diarrhea,Vomiting,Weight loss,Dehydration,8
Dog,Mixed Breed,14.2,18.7,Recent surgery,Lesions in the nasal cavity,Lesions on nose,Vomiting,Noisy Breathing,Lesions on nose,8
Dog,Rottweiler,6.1,29.6,Vaccinated,Isolation from flock,Stealing,Nesting behaviour,Pawing at bedding,Pains,0
Dog,Beagle,11.0,23.1,Vaccinated,Jaundice,Loss of appetite,Rough Hair coat,Coughing,Death,10
Dog,Beagle,6.3,28.9,Recent surgery,Coughing,gurgling sound,Diarrhea,Lethargy,Vomiting,9
Dog,Poodle,3.8,5.6,Recent surgery,Sneezing,Pain,Weakness,Skeleten abnormalities,Weakness,7
Dog,Golden Retriever,9.5,31.5,Vaccinated,Anorexia,Constipation,Fever,Weakness,Lethargy,8
Dog,Beagle,5.4,27.4,Not vaccinated,Anorexia,Vomiting,Weight loss,Anorexia,Vomiting,8
Dog,Boxer,6.5,29.8,Skin conditions history,Bloody Diarhhea,Depression,Dullness,Death,Weakness,9
Dog,Labrador Retriever,12.8,28.9,No previous conditions,loss in weight,emaciation,loss of appetite,Weakness,diarrhoea,8
Dog,Rottweiler,10.1,25.0,No previous conditions,Coughing,Diarrhea,Diarrhea,Coughing,Vomiting,7
Dog,Rottweiler,5.8,25.0,Allergies,Anorexia,Diarrhea,Coughing,Diarrhea,Weakness,7
Dog,Poodle,1.9,6.0,Recent surgery,Extension of neck,Weakness,Coughing,Weight loss,Lethargy,8
